label,party,color,fontcolor,size,fontsize,dim11,dim12,dim21,dim22,dim31,dim32
kapitel,AFD,#21a1ff,#21a1ff,10,12,66.838295,91.09485,13.000469,44.368477,4.39870258152462,23.900962609307896
türkei,AFD,#21a1ff,#21a1ff,10,12,62.01617,93.624115,7.4469566,46.534885,2.8583786572395584,21.986150020493657
gesellschaftlich,Linke,#900C3F,#900C3F,10,12,79.42253,50.241425,65.62742,25.097313,14.856407250667925,12.430720984709495
sichern,CDUCSU,#343434,#343434,10,12,26.145702,13.565079,95.065384,77.37495,28.76994670366721,9.551082490052643
welt,CDUCSU,#343434,#343434,10,12,39.47136,25.643408,79.9538,59.039433,20.808030970103772,12.14740755857922
gesetzlich,Linke,#900C3F,#900C3F,10,12,69.215,51.919014,63.66524,34.665512,12.583683176059631,16.111798775738333
frei,FDP,#ffe800,#ffe800,10,12,33.31708,38.740967,79.078476,67.972984,19.899523163696305,17.76564507740589
schutz,Gruene,#029e00,#029e00,10,12,31.685957,29.426987,82.47666,64.44621,20.829255950041265,15.80323347757662
wichtig,SPD,#cc0000,#cc0000,10,12,24.1876,15.639668,94.82495,74.6341,28.800523561125736,12.637221889119493
wirtschaftlich,CDUCSU,#343434,#343434,10,12,22.087,13.995802,96.04529,78.8458,32.19168844186334,11.443037954662666
wirtschaft,SPD,#cc0000,#cc0000,10,12,22.275805,18.080816,93.2581,78.49669,28.277896951163868,15.415164623716047
fördern,CDUCSU,#343434,#343434,10,12,12.523998,16.517971,96.4618,88.61158,38.9156762692867,13.959015314793271
verstärken,FDP,#ffe800,#ffe800,10,12,57.06576,36.1901,62.1319,61.446537,13.063776163021332,15.162977313089531
weltweit,CDUCSU,#343434,#343434,10,12,64.518486,40.131363,58.40381,51.591103,10.386273899535436,14.126824698986937
aufgabe,CDUCSU,#343434,#343434,10,12,59.549164,37.289238,62.054844,57.604218,12.306413998431914,15.015660626182761
ddr,Linke,#900C3F,#900C3F,10,12,80.985695,72.338295,47.34492,9.953953,6.1075555113192275,13.297790739771898
stadt,SPD,#cc0000,#cc0000,10,12,79.43373,59.047485,58.755135,43.721203,10.58246255358979,13.22330440281071
milliarde,Linke,#900C3F,#900C3F,10,12,64.93404,70.23953,32.424824,41.351837,10.661572620470565,18.218821168575875
ezb,AFD,#21a1ff,#21a1ff,10,12,62.131573,95.650856,2.9575121,48.653904,1.2372861657095466,22.361288022651404
spd,SPD,#cc0000,#cc0000,10,12,47.03323,39.562645,63.70983,50.79524,13.28484106588399,12.011351142535034
sozialversicherungsabkommen,AFD,#21a1ff,#21a1ff,10,12,63.41452,99.666145,0.31095582,48.32966,0.4453611918801964,22.4442719016993
sorgen,SPD,#cc0000,#cc0000,10,12,45.609287,34.637787,75.271,58.621555,16.78396758816444,14.74303993421323
umwelt,Gruene,#029e00,#029e00,10,12,67.574135,60.088062,54.82659,32.9871,11.774259832207775,13.995404777140449
stärken,Gruene,#029e00,#029e00,10,12,9.773423,16.662462,98.18956,93.529976,41.99719234801973,11.266001632812644
kommune,Linke,#900C3F,#900C3F,10,12,80.28982,49.871918,67.88441,23.94611,15.223896224974359,11.983724778129803
teilhabe,Gruene,#029e00,#029e00,10,12,73.290115,63.879597,54.27122,25.314089,8.546190441599897,14.927823525239331
bildung,Linke,#900C3F,#900C3F,10,12,23.736526,26.783371,86.58412,76.66351,25.727700238791563,14.100380484417382
bundesregierung,SPD,#cc0000,#cc0000,10,12,45.566463,22.49806,75.857704,49.77588,18.625207411883423,13.118012227970743
million,Linke,#900C3F,#900C3F,10,12,75.30197,56.17786,60.299812,32.628216,12.451132067431448,15.268387011990272
art,AFD,#21a1ff,#21a1ff,10,12,63.112606,89.390686,14.370892,46.617947,5.187812773322934,21.785699041993574
eu,AFD,#21a1ff,#21a1ff,10,12,16.751503,26.006863,88.230484,84.53169,31.861833704331914,23.089587565108634
maßnahme,FDP,#ffe800,#ffe800,10,12,38.071934,32.997353,78.522026,63.137966,19.127145539910188,16.561484657472995
politisch,FDP,#ffe800,#ffe800,10,12,22.681301,28.139473,84.89348,77.98121,24.525756402824996,19.609860321695145
neu,Gruene,#029e00,#029e00,10,12,32.951527,28.305864,82.57564,64.32017,20.625553011313155,14.579882248879668
euro,Linke,#900C3F,#900C3F,10,12,86.11182,45.4627,63.63238,25.88343,20.593421311272838,24.07490277785993
armut,Linke,#900C3F,#900C3F,10,12,81.89598,70.79706,48.23244,11.938644,5.674817243159635,13.616654244715779
einzeln,FDP,#ffe800,#ffe800,10,12,70.63038,35.633488,55.463814,61.46747,7.107284609616632,15.373346267654151
zugang,Linke,#900C3F,#900C3F,10,12,73.310616,59.854294,58.1526,26.781454,10.659656701462984,15.438519715523032
hilfe,SPD,#cc0000,#cc0000,10,12,59.577103,41.063114,57.702065,53.331596,12.372960263192649,16.274666791308206
schule,AFD,#21a1ff,#21a1ff,10,12,56.941658,66.89179,37.886696,46.456135,10.647102259225916,19.993535441329787
